#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
foxo	Hsf	3236007	3233744	FBpp0293589	FBpp0110266	0	0	0	0	0.046	0.049	0	0.925	0.926
run	Smox	3227366	3224411	FBpp0076971	FBpp0071140	0	0	0	0	0	0.149	0.900	0.207	0.926
cwo	Pdp1	3229768	3227125	FBpp0081723	FBpp0076495	0	0	0	0	0.109	0.100	0	0.915	0.925
tll	hb	3231532	3229620	FBpp0085071	FBpp0081431	0	0	0	0	0	0.102	0	0.918	0.924
cwo	vri	3229768	3228239	FBpp0081723	FBpp0078706	0	0	0	0	0.090	0.100	0	0.915	0.924
oc	sv	3237101	3233094	FBpp0304126	FBpp0088366	0	0	0	0	0.052	0.100	0	0.917	0.923
Mef2	twi	3232741	3224776	FBpp0087529	FBpp0071864	0	0	0	0	0	0.508	0	0.850	0.923
fkh	Tbp	3234823	3224643	FBpp0289487	FBpp0071596	0	0	0	0	0	0.122	0.900	0.188	0.922
achi	Smox	3232514	3224411	FBpp0087053	FBpp0071140	0	0	0	0	0.058	0.100	0.900	0.192	0.922
da	grn	3237227	3234744	FBpp0304504	FBpp0289317	0	0	0	0	0.048	0.100	0.900	0.194	0.921
sd	lz	3236737	3224470	FBpp0301994	FBpp0071255	0	0	0	0	0	0	0.900	0.248	0.921
shn	brk	3233266	3224333	FBpp0089118	FBpp0071007	0	0	0	0	0	0.476	0	0.856	0.921
dm	N	3237064	3224059	FBpp0303995	FBpp0070483	0	0	0	0	0.091	0.464	0	0.851	0.921
pan	lz	3233954	3224470	FBpp0111569	FBpp0071255	0	0	0	0	0	0.100	0.900	0.193	0.921
sv	unpg	3233094	3232800	FBpp0088366	FBpp0087667	0	0	0	0	0	0.090	0	0.916	0.920
pho	phol	3233074	3226979	FBpp0088268	FBpp0076203	0	0	0	0.762	0	0	0.900	0.854	0.920
pan	Sox14	3233954	3224895	FBpp0111569	FBpp0072066	0	0	0	0.552	0.051	0.100	0.900	0.346	0.920
grn	phol	3234744	3226979	FBpp0289317	FBpp0076203	0	0	0	0	0	0.067	0.900	0.220	0.920
run	lz	3227366	3224470	FBpp0076971	FBpp0071255	0	0	0	0.780	0	0	0.900	0.858	0.918
CG18619	CG4282	3233178	3232145	FBpp0088679	FBpp0086288	0	0	0	0	0	0.917	0	0	0.917
pan	Sox15	3233954	3232343	FBpp0111569	FBpp0086702	0	0	0	0.546	0.051	0.100	0.900	0.285	0.917
bcd	kni	3229474	3227870	FBpp0081168	FBpp0077941	0	0	0	0	0	0	0	0.915	0.915
Ubx	z	3230325	3224027	FBpp0082793	FBpp0070419	0	0	0	0	0	0.476	0	0.844	0.914
Dp	Max	3232414	3226257	FBpp0086853	FBpp0074785	0	0	0	0	0.046	0.048	0.900	0.162	0.913
achi	Med	3232514	3231597	FBpp0087053	FBpp0085176	0	0	0	0	0.048	0.100	0.900	0.096	0.912
lz	Smox	3224470	3224411	FBpp0071255	FBpp0071140	0	0	0	0	0	0.115	0.900	0.094	0.912
Med	lz	3231597	3224470	FBpp0085176	FBpp0071255	0	0	0	0	0	0.115	0.900	0.094	0.912
ey	hth	3233568	3229770	FBpp0099810	FBpp0081732	0	0	0	0	0.047	0.508	0	0.826	0.911
sna	twi	3229047	3224776	FBpp0080298	FBpp0071864	0	0	0	0	0.043	0	0	0.911	0.911
sd	run	3236737	3227366	FBpp0301994	FBpp0076971	0	0	0	0	0	0	0.900	0.143	0.910
EcR	Met	3235496	3225536	FBpp0291631	FBpp0073368	0	0	0	0	0.053	0.633	0	0.757	0.908
CG13624	CG18619	3233690	3233178	FBpp0110092	FBpp0088679	0	0	0	0	0.048	0.457	0	0.836	0.908
nmo	hth	3237518	3229770	FBpp0305425	FBpp0081732	0	0	0	0	0.085	0	0	0.902	0.907
tll	bcd	3231532	3229474	FBpp0085071	FBpp0081168	0	0	0	0	0	0.050	0	0.906	0.906
usp	kni	3237683	3227870	FBpp0305937	FBpp0077941	0	0	0	0.593	0	0	0.900	0.160	0.905
hb	ftz	3229620	3229462	FBpp0081431	FBpp0081139	0	0	0	0	0	0.480	0	0.825	0.905
pnt	Jra	3233173	3232726	FBpp0088658	FBpp0087498	0	0	0	0	0.046	0.809	0	0.517	0.904
Dp	Smox	3232414	3224411	FBpp0086853	FBpp0071140	0	0	0	0	0	0	0.900	0.072	0.903
zfh2	run	3233047	3227366	FBpp0088139	FBpp0076971	0	0	0	0	0	0	0.900	0.064	0.902
Dp	Med	3232414	3231597	FBpp0086853	FBpp0085176	0	0	0	0	0.060	0	0.900	0.046	0.902
wek	dl	3236984	3229170	FBpp0303719	FBpp0080560	0	0	0	0	0	0.067	0.900	0	0.902
trh	D	3237711	3226619	FBpp0306032	FBpp0075488	0	0	0	0	0	0.898	0	0.072	0.902
nmo	ey	3237518	3233568	FBpp0305425	FBpp0099810	0	0	0	0	0	0	0	0.901	0.901
wek	Dif	3236984	3235257	FBpp0303719	FBpp0290792	0	0	0	0	0	0.048	0.900	0.049	0.901
zfh2	lz	3233047	3224470	FBpp0088139	FBpp0071255	0	0	0	0	0	0	0.900	0	0.900
lilli	HmgD	3227537	3224656	FBpp0077318	FBpp0071625	0	0	0	0	0	0	0.900	0	0.900
nmo	Six4	3237518	3227864	FBpp0305425	FBpp0077932	0	0	0	0	0	0	0	0.898	0.898
hth	Six4	3229770	3227864	FBpp0081732	FBpp0077932	0	0	0	0	0.051	0	0	0.897	0.898
ftz	odd	3229462	3227503	FBpp0081139	FBpp0077246	0	0	0	0	0	0.049	0	0.895	0.896
eve	kni	3232718	3227870	FBpp0087478	FBpp0077941	0	0	0	0	0	0	0	0.895	0.895
da	twi	3237227	3224776	FBpp0304504	FBpp0071864	0	0	0	0	0	0.770	0	0.554	0.893
Dll	Stat92E	3234768	3233119	FBpp0289353	FBpp0088489	0	0	0	0	0	0	0	0.891	0.891
usp	Met	3237683	3225536	FBpp0305937	FBpp0073368	0	0	0	0	0	0.633	0	0.715	0.891
Six4	eyg	3227864	3226738	FBpp0077932	FBpp0075711	0	0	0	0	0.050	0.050	0	0.888	0.890
tin	tup	3230690	3229221	FBpp0083485	FBpp0080661	0	0	0	0	0.101	0.071	0	0.879	0.890
dpn	N	3232916	3224059	FBpp0087879	FBpp0070483	0	0	0	0	0	0.508	0	0.786	0.890
ttk	ftz	3231602	3229462	FBpp0085186	FBpp0081139	0	0	0	0	0	0.764	0	0.556	0.890
Abd-B	CTCF	3230343	3227163	FBpp0082826	FBpp0076588	0	0	0	0	0	0.049	0	0.888	0.889
Dll	N	3234768	3224059	FBpp0289353	FBpp0070483	0	0	0	0	0	0	0	0.882	0.882
fkh	GATAe	3234823	3230267	FBpp0289487	FBpp0082672	0	0	0	0	0.116	0.181	0	0.851	0.882
Kr	hb	3237497	3229620	FBpp0305365	FBpp0081431	0	0	0	0.561	0.098	0.789	0	0.917	0.881
hb	cad	3229620	3229371	FBpp0081431	FBpp0080942	0	0	0	0	0	0.050	0	0.879	0.880
Trl	Abd-B	3237459	3230343	FBpp0305260	FBpp0082826	0	0	0	0	0	0.476	0	0.778	0.878
sd	Abd-B	3236737	3230343	FBpp0301994	FBpp0082826	0	0	0	0	0	0.867	0	0.122	0.878
ey	N	3233568	3224059	FBpp0099810	FBpp0070483	0	0	0	0	0.050	0.478	0	0.772	0.877
tio	Six4	3233101	3227864	FBpp0088404	FBpp0077932	0	0	0	0	0	0	0	0.876	0.876
Eip78C	cyc	3236217	3226217	FBpp0297287	FBpp0074693	0	0	0	0	0	0.369	0	0.811	0.875
nmo	eyg	3237518	3226738	FBpp0305425	FBpp0075711	0	0	0	0	0	0	0	0.873	0.873
Six4	toe	3227864	3226739	FBpp0077932	FBpp0075712	0	0	0	0	0.050	0.050	0	0.869	0.872
bap	bin	3230691	3227177	FBpp0083486	FBpp0076609	0	0	0	0	0.095	0.100	0	0.854	0.871
hkb	kni	3228182	3227870	FBpp0078591	FBpp0077941	0	0	0	0	0	0	0	0.870	0.870
oc	en	3237101	3232592	FBpp0304126	FBpp0087197	0	0	0	0	0.055	0	0	0.867	0.869
tll	slp1	3231532	3227473	FBpp0085071	FBpp0077188	0	0	0	0	0.083	0.100	0	0.849	0.865
EcR	Eip74EF	3235496	3233573	FBpp0291631	FBpp0099825	0	0	0	0	0.107	0.058	0	0.853	0.865
usp	Hr38	3237683	3229364	FBpp0305937	FBpp0080927	0	0	0	0.652	0	0.807	0	0.856	0.864
foxo	sima	3236007	3231463	FBpp0293589	FBpp0084931	0	0	0	0	0.047	0.182	0	0.840	0.864
Abd-B	Dfd	3230343	3229461	FBpp0082826	FBpp0081138	0	0	0	0.581	0.056	0.773	0	0.931	0.863
Trl	Ubx	3237459	3230325	FBpp0305260	FBpp0082793	0	0	0	0	0	0.476	0	0.750	0.863
pnr	Hand	3230268	3228715	FBpp0082675	FBpp0079662	0	0	0	0	0.053	0.134	0	0.845	0.862
hb	hkb	3229620	3228182	FBpp0081431	FBpp0078591	0	0	0	0	0.090	0	0	0.855	0.862
Kr	eve	3237497	3232718	FBpp0305365	FBpp0087478	0	0	0	0	0	0.047	0	0.860	0.861
Kr	bcd	3237497	3229474	FBpp0305365	FBpp0081168	0	0	0	0	0	0.049	0	0.858	0.859
Kr	tll	3237497	3231532	FBpp0305365	FBpp0085071	0	0	0	0	0	0.102	0	0.850	0.859
eve	odd	3232718	3227503	FBpp0087478	FBpp0077246	0	0	0	0	0	0.047	0	0.858	0.859
cad	kni	3229371	3227870	FBpp0080942	FBpp0077941	0	0	0	0	0	0	0	0.858	0.858
CG14710	CG12219	3234591	3224282	FBpp0288841	FBpp0070886	0	0	0	0	0.091	0	0	0.850	0.857
tin	Doc2	3230690	3227009	FBpp0083485	FBpp0076274	0	0	0	0	0	0.663	0	0.593	0.857
dm	pan	3237064	3233954	FBpp0303995	FBpp0111569	0	0	0	0	0	0.070	0	0.851	0.856
Dad	Smox	3230349	3224411	FBpp0082834	FBpp0071140	0	0	0	0.599	0	0.140	0.800	0.525	0.856
N	ac	3224059	3223852	FBpp0070483	FBpp0070071	0	0	0	0	0	0	0	0.856	0.856
pnr	Doc2	3230268	3227009	FBpp0082675	FBpp0076274	0	0	0	0	0.074	0.489	0	0.721	0.856
tll	cad	3231532	3229371	FBpp0085071	FBpp0080942	0	0	0	0	0	0.050	0	0.853	0.855
eve	slp1	3232718	3227473	FBpp0087478	FBpp0077188	0	0	0	0	0	0	0	0.855	0.855
odd	slp1	3227503	3227473	FBpp0077246	FBpp0077188	0	0	0	0	0	0.100	0	0.845	0.855
Jra	CrebB-17A	3232726	3226027	FBpp0087498	FBpp0074326	0	0	0	0	0	0.262	0	0.808	0.853
bcd	hkb	3229474	3228182	FBpp0081168	FBpp0078591	0	0	0	0	0	0.049	0	0.852	0.853
eve	tll	3232718	3231532	FBpp0087478	FBpp0085071	0	0	0	0	0.117	0.048	0	0.838	0.852
abd-A	Dfd	3230344	3229461	FBpp0082829	FBpp0081138	0	0	0	0.618	0.053	0.769	0	0.912	0.851
ey	Six4	3233568	3227864	FBpp0099810	FBpp0077932	0	0	0	0	0.050	0.050	0	0.848	0.851
hth	eyg	3229770	3226738	FBpp0081732	FBpp0075711	0	0	0	0	0.045	0.064	0	0.847	0.851
CG4820	CG12219	3234140	3224282	FBpp0112133	FBpp0070886	0	0	0	0	0.053	0	0	0.850	0.851
tin	Hand	3230690	3228715	FBpp0083485	FBpp0079662	0	0	0	0	0.056	0.159	0	0.827	0.850
ftz	kni	3229462	3227870	FBpp0081139	FBpp0077941	0	0	0	0	0	0	0	0.850	0.850
hth	toe	3229770	3226739	FBpp0081732	FBpp0075712	0	0	0	0	0	0.057	0	0.847	0.849
CG10431	CG11398	3229232	3223939	FBpp0080678	FBpp0070240	0	0	0	0	0	0	0	0.848	0.848
nmo	tio	3237518	3233101	FBpp0305425	FBpp0088404	0	0	0	0	0	0	0	0.848	0.848
Hsf	schlank	3233744	3224286	FBpp0110266	FBpp0070899	0	0	0	0	0	0	0	0.847	0.847
nmo	toe	3237518	3226739	FBpp0305425	FBpp0075712	0	0	0	0	0	0	0	0.847	0.847
N	sc	3224059	3223853	FBpp0070483	FBpp0070072	0	0	0	0	0	0	0	0.846	0.846
CG34406	CG12219	3233956	3224282	FBpp0111583	FBpp0070886	0	0	0	0	0	0	0	0.846	0.846
Dll	caup	3234768	3226705	FBpp0289353	FBpp0075641	0	0	0	0	0	0.636	0	0.593	0.845
chinmo	zfh1	3236383	3231529	FBpp0297890	FBpp0085063	0	0	0	0	0	0	0	0.845	0.845
tll	ems	3231532	3230090	FBpp0085071	FBpp0082326	0	0	0	0	0.048	0.059	0	0.838	0.843
ey	tio	3233568	3233101	FBpp0099810	FBpp0088404	0	0	0	0	0	0	0	0.843	0.843
tio	hth	3233101	3229770	FBpp0088404	FBpp0081732	0	0	0	0	0.047	0	0	0.842	0.843
tj	zfh1	3235279	3231529	FBpp0290883	FBpp0085063	0	0	0	0	0.043	0	0	0.842	0.842
fkh	Sox15	3234823	3232343	FBpp0289487	FBpp0086702	0	0	0	0	0.050	0.125	0	0.824	0.841
bcd	vfl	3229474	3226160	FBpp0081168	FBpp0074576	0	0	0	0	0.109	0.049	0	0.828	0.841
foxo	Rel	3236007	3233097	FBpp0293589	FBpp0088375	0	0	0	0	0	0.064	0	0.835	0.839
pan	N	3233954	3224059	FBpp0111569	FBpp0070483	0	0	0	0	0	0.067	0	0.834	0.838
odd	slp2	3227503	3227474	FBpp0077246	FBpp0077189	0	0	0	0	0	0.100	0	0.827	0.837
Nf-YB	Tbp	3229315	3224643	FBpp0080827	FBpp0071596	0	0	0	0	0.095	0.112	0	0.814	0.837
sna	N	3229047	3224059	FBpp0080298	FBpp0070483	0	0	0	0	0	0.100	0	0.825	0.836
CG1792	CG12219	3231598	3224282	FBpp0085180	FBpp0070886	0	0	0	0	0.091	0	0	0.828	0.836
sens	ac	3226676	3223852	FBpp0075596	FBpp0070071	0	0	0	0	0	0.479	0	0.698	0.836
tio	eyg	3233101	3226738	FBpp0088404	FBpp0075711	0	0	0	0	0	0	0	0.836	0.836
da	HLH54F	3237227	3233129	FBpp0304504	FBpp0088516	0	0	0	0	0.050	0.819	0	0.114	0.834
dm	kay	3237064	3234489	FBpp0303995	FBpp0288515	0	0	0	0	0	0.071	0	0.829	0.834
ftz-f1	Met	3226294	3225536	FBpp0074853	FBpp0073368	0	0	0	0	0.050	0.806	0	0.167	0.833
Sry-delta	bcd	3231458	3229474	FBpp0084924	FBpp0081168	0	0	0	0	0	0.480	0	0.692	0.833
oc	fkh	3237101	3234823	FBpp0304126	FBpp0289487	0	0	0	0	0.057	0.133	0	0.810	0.831
eve	slp2	3232718	3227474	FBpp0087478	FBpp0077189	0	0	0	0	0	0	0	0.831	0.831
ey	Antp	3233568	3229473	FBpp0099810	FBpp0081161	0	0	0	0.574	0.053	0.782	0	0.516	0.830
Trl	z	3237459	3224027	FBpp0305260	FBpp0070419	0	0	0	0	0	0	0	0.828	0.828
oc	tll	3237101	3231532	FBpp0304126	FBpp0085071	0	0	0	0	0.049	0.109	0	0.813	0.827
tll	ftz	3231532	3229462	FBpp0085071	FBpp0081139	0	0	0	0	0	0.050	0	0.826	0.827
Stat92E	zfh1	3233119	3231529	FBpp0088489	FBpp0085063	0	0	0	0	0	0	0	0.826	0.827
CG30431	CG12219	3231666	3224282	FBpp0085335	FBpp0070886	0	0	0	0	0	0	0	0.826	0.826
phol	z	3226979	3224027	FBpp0076203	FBpp0070419	0	0	0	0	0	0	0	0.825	0.825
zfh1	tin	3231529	3230690	FBpp0085063	FBpp0083485	0	0	0	0	0.048	0.476	0	0.678	0.825
Mad	brk	3237271	3224333	FBpp0304648	FBpp0071007	0	0	0	0	0	0	0	0.825	0.825
chn	sc	3236029	3223853	FBpp0293744	FBpp0070072	0	0	0	0	0	0.479	0	0.677	0.824
nmo	foxo	3237518	3236007	FBpp0305425	FBpp0293589	0	0	0	0	0	0.120	0.800	0.083	0.824
fkh	schlank	3234823	3224286	FBpp0289487	FBpp0070899	0	0	0	0	0	0.051	0	0.822	0.823
CG7368	CG10431	3233723	3229232	FBpp0110184	FBpp0080678	0	0	0	0	0	0	0	0.822	0.822
kni	slp1	3227870	3227473	FBpp0077941	FBpp0077188	0	0	0	0	0	0	0	0.821	0.821
nau	N	3230900	3224059	FBpp0083863	FBpp0070483	0	0	0	0	0	0	0	0.819	0.819
en	slp1	3232592	3227473	FBpp0087197	FBpp0077188	0	0	0	0	0.047	0.050	0	0.816	0.819
Mnt	Mio	3235327	3235226	FBpp0291035	FBpp0290673	0	0	0	0	0.043	0	0	0.816	0.817
Trl	Hsf	3237459	3233744	FBpp0305260	FBpp0110266	0	0	0	0	0	0.615	0	0.544	0.816
fkh	Dll	3234823	3234768	FBpp0289487	FBpp0289353	0	0	0	0	0.050	0.160	0	0.786	0.815
fkh	twi	3234823	3224776	FBpp0289487	FBpp0071864	0	0	0	0	0	0	0	0.814	0.814
sens	sc	3226676	3223853	FBpp0075596	FBpp0070072	0	0	0	0	0	0.479	0	0.654	0.812
ey	tup	3233568	3229221	FBpp0099810	FBpp0080661	0	0	0	0	0.092	0.100	0	0.788	0.812
tio	toe	3233101	3226739	FBpp0088404	FBpp0075712	0	0	0	0	0	0	0	0.809	0.809
sv	en	3233094	3232592	FBpp0088366	FBpp0087197	0	0	0	0	0.049	0.060	0	0.804	0.809
ey	pb	3233568	3233084	FBpp0099810	FBpp0088333	0	0	0	0.543	0	0.782	0	0.288	0.808
pnt	run	3233173	3227366	FBpp0088658	FBpp0076971	0	0	0	0	0.042	0.779	0	0.153	0.805
br	pnt	3234909	3233173	FBpp0289656	FBpp0088658	0	0	0	0	0	0	0.800	0.064	0.804
pnr	caup	3230268	3226705	FBpp0082675	FBpp0075641	0	0	0	0	0.097	0.053	0	0.788	0.803
ss	Dll	3236168	3234768	FBpp0297168	FBpp0289353	0	0	0	0	0.071	0.480	0	0.621	0.801
Mio	Max	3235226	3226257	FBpp0290673	FBpp0074785	0	0	0	0	0	0	0	0.801	0.801
oc	tup	3237101	3229221	FBpp0304126	FBpp0080661	0	0	0	0	0	0.326	0	0.716	0.800
usp	foxo	3237683	3236007	FBpp0305937	FBpp0293589	0	0	0	0	0	0.508	0	0.608	0.799
